Collection_ID	Family	Genus	Species	Country	Province	County	Latitude	Longitude	Month	Year	Population	Eye	Mouth_position	Caudal_fin_shape	Eye	Eye_ball	Snout	Mouth_width	Mouth_length	AD	B_height	C_height	D_height	DI	AE	FG	FH	IM	IK	I_depth	JL	JW	K_depth	NO	O_depth	NP	QR	QU	ST	RV	AS	AT	DID
135536	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Lingyun	24.58	106.72	November	2005	Mi4	Reduced	Sub-Terminal	forked	5.13	1.02	10.51	6.02	4.82	18.54	5.56	7.49	12	30.12	24.71	3.56	22.96	21.87	14.44	25.02	15.71	4.04	18.17	7.52	12.59	15.31	12.71	23	10.31	24.1	89.59	99.9	36.88
135537	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Lingyun	24.58	106.72	November	2005	Mi4	Reduced	Sub-Terminal	forked	6.32	1.04	8.88	5.87	3.62	19.01	5.62	7.51	13.75	28.98	22.45	3.45	21.82	22.26	14.6	25.21	16.62	4.67	17.86	8.94	12.04	18.07	13	24.78	11.31	27.09	86.59	97.9	37.42
145355	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Leye	24.78	106.55	January	2006	Mi7	Reduced	Sub-Terminal	forked	7.7	1.42	6.98	4.93	2.19	18.44	5.67	7.63	13.3	24.73	23.01	2.61	20.4	19.83	14.55	23.19	15.1	3.28	17.44	8.49	11.42	15.95	10.78	NA	8.08	NA	84.94	93.02	29.12
145356	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Leye	24.78	106.55	January	2006	Mi7	Reduced	Sub-Terminal	forked	8.64	1.35	7.84	6.37	5	24.13	6.2	9.98	17.2	38.05	28.91	4.81	28.04	24.06	19.38	31.91	20.83	5.49	24.16	12.42	15.33	20.29	15.34	25.11	11.55	27.28	123.82	135.37	56.01
145357	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Leye	24.78	106.55	January	2006	Mi7	Reduced	Sub-Terminal	forked	8.89	1.8	9.52	8.13	4.06	22.77	8.13	11.3	16.92	32.96	31.03	5.1	22.69	15.59	15.84	30.08	15.01	5.99	21.4	8.81	13.93	13.75	13.72	21.49	9.21	18.25	108.12	117.33	32.14
145358	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Leye	24.78	106.55	January	2006	Mi7	Reduced	Sub-Terminal	forked	7.11	1.35	7.25	4.93	2.9	19.22	4.74	7.49	13.64	30.6	22.34	3.39	22.14	21.91	15.43	25.75	17.85	4.34	18.88	9.79	11.78	19.41	13.16	26.12	10.51	24.49	93.79	104.3	53.64
145359	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Leye	24.78	106.55	January	2006	Mi7	Reduced	Sub-Terminal	forked	7.34	1.52	6.96	4.11	2.81	18.19	5.23	7.21	12.7	25.79	23.66	3.02	16.09	15.88	12.28	20.28	11.98	4.01	14.8	6.93	9.37	17.23	10.74	18.96	11.91	18.31	86.2	98.11	17.9
145360	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Leye	24.78	106.55	January	2006	Mi7	Reduced	Sub-Terminal	forked	7.14	1.02	8.56	4.62	3.84	18.24	4.96	7.5	13.19	26.27	23.8	3.12	15.1	13.55	10.52	23.41	11.7	3.91	17.51	6.93	10.58	10.25	11	14.53	9.11	15.14	82.87	91.98	34.65
183413	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi 	Bama	24.31	107	March	2010	Mi6	Reduced	Sub-Terminal	forked	7.77	1.5	10.67	8.28	4.13	29.69	8.76	13.22	22.79	46.71	36.99	4.46	37.68	30.28	21.73	46.39	22.84	5.71	33.93	10.4	21.56	21.1	17.35	29.88	11.55	21.27	142.13	153.68	135.91
197038	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.86	8.25	6.75	6.27	18.06	8.03	11.29	15.17	35.8	25.61	3.76	19.58	18.57	11.98	23.78	15.62	4	19.22	7.66	12.78	15.38	12.71	23.61	12.01	23.28	95.22	107.23	75.81
197039	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.71	7.49	5.69	6.04	16.87	6.62	9.9	13.96	31.52	23.35	2.87	18.66	17.1	11.1	21.67	14.38	3.8	17.01	6.23	11.74	14.17	11.86	22.14	11.49	22.8	87.86	99.35	57.39
197040	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.19	8.05	5.97	5.62	18.51	7.79	12.1	15.83	35.85	25.92	2.81	21.44	18.5	10.69	24.55	16.29	3.94	19.21	8.6	12.77	15.75	12.36	24.07	12.48	24.8	93.58	106.06	89
197041	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.9	6.74	4.92	3.77	16.32	6.36	9.66	13.65	29.85	21.57	2.78	15.97	17.37	11.47	20.01	14.04	2.92	15.76	5.65	11.16	13.96	10.52	21.01	11.66	21.4	79.36	91.02	47.47
197042	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.86	6.96	6.43	5.57	17.03	6.1	9.82	13.63	30.37	22.81	2.81	15.25	18.22	11.17	19.61	14.68	3.36	15.84	6.2	10.9	14.68	10.54	23.37	11.75	23.03	84.33	96.08	48.63
197043	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.04	7.13	6.27	5.08	17.2	6.77	10.09	14.3	30.21	23	3.05	18.3	18.45	10.7	20.05	14.26	3.87	16.33	6.59	11.09	15.61	11.39	23.41	12.62	23.19	84.34	96.96	50.74
197044	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.48	6.73	5.21	5.03	15.58	6.42	9.77	12.54	28.75	21.37	2.79	13.68	16.75	9.14	19.32	13.35	3.26	15.37	4.93	10.42	13.26	9.07	22.02	11	21.26	77.74	88.74	43.51
197045	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	6.2	12.44	12.05	8.23	26.91	11.9	16.31	22.53	57.8	38.1	5.45	24.16	NA	20.08	42.71	21.54	6.08	34.58	12.44	25.1	23.77	21.4	37.7	21.34	35.47	147.96	169.3	267.53
197046	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	6.26	11.46	10.89	8.17	24.53	11.13	14.85	21.96	57.98	35.47	5.52	30.85	25.22	16.65	40.62	22.66	5.47	33.82	12.13	22.72	23.11	19.58	34.12	19.34	36.73	145.73	165.07	235.05
197047	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.65	10.95	10.38	5.77	24.05	11.19	14.74	20.48	43.44	33.34	4.72	27.86	22.75	16.07	33.06	21.02	5.25	26.79	9.43	18.02	19.48	17.63	30.73	16.86	31.32	125.53	142.39	112.88
197048	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	6.07	10.78	9.53	8.35	24.12	10.14	14.23	21.33	52.7	33.72	4.76	28.86	25.2	17.23	37.4	22.76	5.34	30.47	11.03	20.74	22.32	18.64	30.1	17.77	31.27	135.9	153.67	193.91
197049	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.08	8.19	7.65	6.56	19.37	8.17	12.26	16.68	35.58	27.55	3.43	19.07	18.59	12.93	25.11	15.02	3.76	19.69	9.05	14.09	15.25	15	24.47	13.88	24.73	96.54	110.42	68.76
197050	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.57	8.1	6.35	5.61	17.4	7.24	10.27	14.6	33.84	22.54	3.5	18.79	19.46	12.8	27.84	14.96	3.73	21.86	8.24	14.45	15.09	13.13	23.56	11.55	23.57	92.56	104.11	60.34
197051	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.04	7.3	7.01	5.82	19.64	8.03	11.92	16.22	33.5	26.72	3.85	19.85	20.51	14.82	26.86	16.21	3.78	19.98	9.07	14.19	16.25	14	23.83	13.71	24.88	95.71	109.42	63.04
197052	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.11	7.31	6.52	5.36	17.12	6.73	9.65	14.3	30.26	21.64	3.15	17.85	18.59	9.89	23.26	15.59	3.61	18.41	6.98	12.51	12.73	11.47	24.48	12.04	24.56	85.11	97.15	43.71
197053	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.16	6.94	6.57	5.14	16.21	7.69	11.05	15.15	32.92	23.83	2.71	17.34	16.92	10.27	24.59	14.78	3.47	19.99	7.2	14.22	14.46	12.87	22.54	11.64	22.48	90.37	102.01	65.63
197054	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.31	7.04	6.06	5.67	16.64	6.4	9.27	13.83	28.78	21.05	3.24	15.61	14.35	9.45	22.95	12.75	3.07	17.89	5.96	11.79	11.86	11.7	19.51	11.06	20.38	79.39	90.45	41.04
197055	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.14	5.23	4.49	4.83	15.21	6.05	9.37	12.96	27.12	20.73	2.5	15.57	16.19	9.73	22.12	13.12	2.65	16.57	5.56	11.12	12.09	9.75	21	11.22	21.02	76.95	88.17	32.07
197056	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.29	6.66	5.26	4.64	13.43	5.03	8.61	12.02	28.67	18.78	2.66	15.5	14.57	10.26	20.69	13.07	3.11	14.45	6.79	10.47	12.05	11.07	20.41	10.65	20.82	76.27	86.92	36.42
197057	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.39	7.51	6.16	5.38	16.69	6.5	9.96	14.07	28.62	22.16	2.89	15.64	15.36	9.22	21.34	12.53	2.69	16.13	9.24	10.85	12.74	10.62	20.38	11.65	20.1	78.55	90.2	39.68
197058	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4	6.6	4.9	4.29	14.76	5.82	9.22	11.98	25.75	20.43	2.48	14.71	15.62	9.5	19.5	12.59	3.16	14.9	6.36	9.74	12.98	10.05	19.61	10.4	20.27	70.65	81.05	29.12
197059	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.5	5.95	5.03	4.51	14.45	5.43	8.54	11.71	25.9	19.45	2.62	14.22	14.19	9.68	18.83	12.41	3.09	14.64	7.31	9.6	12.32	9.71	19.18	9.57	19.84	71.44	81.01	35.1
197060	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.18	6.31	4.35	4.62	14.85	5.72	9.1	11.96	25.52	20.79	1.97	13.71	14.55	9.06	17.81	11.84	2.83	14.45	5.9	9.29	12.83	9.5	20.04	10.44	20.27	72.56	83	28.54
